277271,"""dixon illinois usa""",NULL
277272,"""porto porto portugal""","""43"""
277274,"""san francisco california usa""",NULL
277281,"""ashland oregon usa""",NULL
277284,"""stratford ontario canada""",NULL
277285,"""kingston ontario canada""",NULL
277288,"""glenburn maine usa""","""62"""
277291,"""red deer alberta canada""",NULL
277292,"""bend oregon usa""",NULL
277293,"""manchester new york usa""",NULL
277305,"""tucson arizona usa""",NULL
277314,"""st. louis missouri usa""","""53"""
277315,"""bloomingont indiana usa""","""33"""
277317,"""oslo n/a norway""","""27"""
277330,"""durham north carolina usa""","""49"""
277334,"""utrecht utrecht netherlands""",NULL
277338,"""berlin berlin germany""",NULL
277339,"""battle ground washington usa""","""20"""
277340,"""ann arbor michigan usa""",NULL
277341,"""tussy oklahoma usa""","""63"""
277343,"""munich bayern germany""",NULL
277348,"""lake charles louisiana usa""",NULL
277351,"""berlin berlin germany""","""44"""
277353,"""kerby oregon usa""",NULL
277358,"""rockwall texas usa""","""18"""
277359,"""myrtle beach south carolina usa""",NULL
277363,"""norcross georgia usa""","""34"""
277364,"""st. louis missouri usa""",NULL
277367,"""london ontario canada""","""15"""
277369,"""torino piemonte italy""","""38"""
277371,"""sydney new south wales australia""","""57"""
277374,"""tucsonaz 85742 arizona usa""",NULL
277375,"""mönchengladbach nordrhein-westfalen germany""",NULL
277378,"""vancouver british columbia canada""","""33"""
277379,"""paderborn nordrhein-westfalen germany""",NULL
277380,"""roselle park new jersey usa""","""26"""
277384,"""mosman new south wales australia""",NULL
277388,"""frankfurt hessen germany""",NULL
277389,"""montréal quebec canada""",NULL
277392,"""goiânia goiás/goiânia/centro oeste brazil""","""46"""
277397,"""albany new york usa""","""67"""
277399,"""burrum heads queensland australia""",NULL
277400,"""arenzano genova liguria italy""","""25"""
277402,"""poquoson virginia usa""",NULL
277405,"""bismarck north dakota usa""","""10"""
277408,"""paris missouri usa""",NULL
277411,"""colorado springs colorado usa""","""48"""
277413,"""norfolk virginia usa""","""56"""
277424,"""satellite beach florida usa""",NULL
277425,"""manchester england united kingdom""","""39"""
277427,"""gilbert arizona usa""","""48"""
277432,"""san leandro california usa""","""16"""
277433,"""lüneburg niedersachsen germany""","""25"""
277434,"""blairmore alberta canada""",NULL
277435,"""cedarburg wisconsin usa""","""50"""
277436,"""stratford iowa usa""","""14"""
277439,"""turner oregon usa""","""65"""
277444,"""preston connecticut usa""",NULL
277453,"""west allis wisconsin usa""",NULL
277457,"""berlin berlin germany""",NULL
277461,"""gainesville florida usa""",NULL
277462,"""vancouver british columbia canada""",NULL
277466,"""manchester connecticut usa""","""50"""
